,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
254,sachinchoolur/lightGallery,2, v,16,2,4,66,82,0 days 00:00:00.066214
255,vrana/adminer,1,v,17,4,11,35,52,0 days 00:00:00.189533
256,junit-team/junit5,2,prototype- r,11,1,8,17,28,0 days 00:00:00.427090
257,onionshare/onionshare,2, v,18,5,11,9,27,0 days 00:00:00.235859
258,flowable/flowable-engine,1,flowable-,10,0,9,9,19,0 days 00:00:00.768326
259,arkime/arkime,1,v,32,2,16,70,102,0 days 00:00:00.234967
260,bee-san/pyWhat,1,,13,11,0,6,19,0 days 00:00:00.040594
261,wix/react-native-interactable,2, v,1,0,0,11,12,0 days 00:00:00.020886
262,nhn/tui.image-editor,2, v,21,5,7,17,38,0 days 00:00:00.051529
263,bestiejs/benchmark.js,1,,5,1,3,19,24,0 days 00:00:00.062815
264,snorkel-team/snorkel,1,v,4,1,2,11,15,0 days 00:00:00.129694
265,wangyu-/udp2raw,1,,38,17,2,0,38,0 days 00:00:00.040505
266,microsoft/Windows-driver-samples,1,,609,0,0,0,609,0 days 00:00:00.425904
267,arwes/arwes,0,,0,0,0,0,0,0 days 00:00:00.011666
268,hiroppy/fusuma,1,v,37,10,1,59,96,0 days 00:00:00.076060
269,share/sharedb,1,v,23,5,4,111,134,0 days 00:00:00.109047
270,GoogleChrome/lighthouse-ci,1,v,9,1,4,24,33,0 days 00:00:00.056692
271,standard-things/esm,1,,29,24,1,160,189,0 days 00:00:00.487887
272,reviewdog/reviewdog,2, v,6,1,4,21,27,0 days 00:00:00.145431
273,davidhalter/jedi,1,v,13,0,10,14,27,0 days 00:00:00.475045
274,windicss/windicss,1,v,13,5,0,81,94,0 days 00:00:00.070371
275,caronc/apprise,1,v,3,0,2,32,35,0 days 00:00:00.042324
276,johannesjo/super-productivity,1,v,58,45,3,296,354,0 days 00:00:00.682213
